team,group,elo,mv_meur,p_win_group,p_r32,p_r16,p_qf,p_sf,p_final,p_win,exp_goals_group
Spain,H,2219.0,1220.0,83.74000000000001,99.215,83.25,68.425,57.58,42.295,30.259999999999998,6.15
France,I,2125.0,1520.0,63.65,97.585,77.69,58.93000000000001,43.25,25.974999999999998,16.275000000000002,6.67
Argentina,J,2192.0,782.0,73.74000000000001,98.195,67.60000000000001,51.644999999999996,35.86,21.265,10.805,6.94
England,L,2086.0,1360.0,74.055,99.105,77.285,51.434999999999995,33.675,20.715,10.79,7.66
Portugal,K,2043.0,1010.0,63.025,97.095,65.915,39.900000000000006,21.905,11.305,4.75,6.45
Norway,I,1971.0,590.0,26.255,88.06,52.559999999999995,31.730000000000004,16.875,7.715,3.04,4.81
Ecuador,E,2028.0,369.0,6.65,88.55,51.725,29.455,14.575,7.16,2.93,4.35
Morocco,C,1985.0,498.0,47.805,96.285,56.779999999999994,32.25,15.55,6.995,2.905,5.62
Netherlands,F,2011.0,754.0,42.535000000000004,93.02,50.585,31.135,15.215,6.5,2.8000000000000003,5.99
Germany,E,2004.0,947.0,51.09,99.57000000000001,59.51,27.855,14.549999999999999,5.96,2.495,9.52
Brazil,C,2069.0,928.0,39.58,94.25,50.754999999999995,26.125,11.379999999999999,4.44,1.53,5.22
Belgium,G,1957.0,548.0,58.64,93.565,62.12,31.41,10.775,4.335,1.51,5.1
Japan,F,1994.0,271.0,29.985,89.625,40.8,21.19,8.995000000000001,3.405,1.175,5.6
United States,D,1827.0,386.0,48.945,97.00999999999999,63.959999999999994,31.2,10.415000000000001,3.7449999999999997,1.15,6.77
Mexico,A,1980.0,192.0,63.470000000000006,98.72,64.61,27.705000000000002,10.32,3.4250000000000003,1.045,5.63
Colombia,K,2064.0,302.0,29.654999999999998,88.75,43.675000000000004,16.85,7.285,2.675,0.9249999999999999,4.86
Australia,D,1902.0,77.0,43.675000000000004,95.135,61.205,27.865000000000002,9.165,3.2099999999999995,0.89,4.82
Croatia,L,1969.0,387.0,22.71,90.075,50.07,17.89,8.195,3.02,0.88,5.02
Ivory Coast,E,1815.0,522.0,42.17,97.8,46.19,17.599999999999998,7.39,2.36,0.62,4.53
Uruguay,H,1976.0,359.0,13.450000000000001,81.41000000000001,30.349999999999998,15.334999999999999,6.619999999999999,2.205,0.575,4.02
Switzerland,B,1956.0,332.0,31.064999999999998,77.55,45.61,19.18,6.235,2.02,0.52,3.94
Canada,B,1899.0,199.0,52.315,94.69999999999999,56.40500000000001,24.025,7.155,2.0500000000000003,0.45999999999999996,5.61
Senegal,I,1914.0,478.0,9.4,66.32000000000001,28.04,12.49,4.54,1.525,0.38999999999999996,3.55
Turkey,D,1969.0,474.0,5.665,53.47,26.91,10.190000000000001,4.055000000000001,1.38,0.37,2.75
Algeria,J,1873.0,257.0,14.219999999999999,74.245,24.104999999999997,10.525,3.7900000000000005,1.135,0.33999999999999997,3.88
South Korea,A,1881.0,139.0,32.56,95.3,50.434999999999995,16.435,4.36,1.105,0.27999999999999997,4.89
Sweden,F,1771.0,406.0,26.86,95.99499999999999,26.775,9.965,2.785,0.615,0.11,6.77
Austria,J,1890.0,245.0,10.635,67.93,19.900000000000002,7.495,2.3,0.615,0.105,3.56
Scotland,C,1844.0,170.0,12.245000000000001,75.87,19.71,4.845,1.015,0.21,0.025,2.5
Czech Republic,A,1802.0,188.0,3.385,48.67,20.43,5.99,0.89,0.15,0.025,3.46
Paraguay,D,1919.0,154.0,1.7149999999999999,22.814999999999998,7.865,1.9,0.475,0.06,0.01,2.82
Egypt,G,1810.0,116.0,16.0,70.49,20.145,3.9350000000000005,0.5700000000000001,0.105,0.005,3.56
Uzbekistan,K,1821.0,85.0,5.42,47.455000000000005,10.059999999999999,1.82,0.33999999999999997,0.08,0.005,2.89
Panama,L,1854.0,35.0,2.045,34.955000000000005,6.905,1.225,0.20500000000000002,0.034999999999999996,0.005,2.52
Qatar,B,1566.0,20.0,1.27,17.655,1.4000000000000001,0.095,0.0,0.0,0.0,2.26
Saudi Arabia,H,1693.0,41.0,1.485,45.4,6.3100000000000005,0.855,0.08499999999999999,0.015,0.0,2.7
Iraq,I,1738.0,21.0,0.695,12.445,2.12,0.44999999999999996,0.055,0.0,0.0,1.82
DR Congo,K,1763.0,144.0,1.9,23.26,3.08,0.335,0.045,0.0,0.0,2.17
South Africa,A,1663.0,49.0,0.585,19.685,5.050000000000001,0.695,0.05,0.01,0.0,1.65
Ghana,L,1625.0,235.0,1.1900000000000002,23.0,3.6799999999999997,0.47000000000000003,0.06999999999999999,0.01,0.0,2.16
New Zealand,G,1732.0,34.0,10.68,47.160000000000004,11.469999999999999,1.79,0.20500000000000002,0.025,0.0,2.87
Haiti,C,1707.0,56.0,0.37,4.31,0.505,0.05,0.01,0.0,0.0,1.12
Curaçao,E,1606.0,26.0,0.09,1.815,0.15,0.02,0.0,0.0,0.0,2.02
Tunisia,F,1738.0,70.0,0.62,6.23,0.915,0.185,0.015,0.0,0.0,2.29
Cape Verde,H,1654.0,54.0,1.325,38.47,4.07,0.41000000000000003,0.025,0.005,0.0,1.63
Bosnia and Herzegovina,B,1652.0,152.0,15.35,76.24499999999999,22.985,5.48,0.765,0.095,0.0,3.76
Iran,G,1897.0,32.0,14.680000000000001,55.684999999999995,15.545,2.705,0.3,0.034999999999999996,0.0,3.14
Jordan,J,1776.0,20.0,1.405,19.855,2.79,0.51,0.08499999999999999,0.015,0.0,2.06
